county_fips,cbsa_code,cbsa_title,area_type,central_outlying
40033,30020,"Lawton, OK",Metropolitan,Outlying
29105,30060,"Lebanon, MO",Micropolitan,Central
42075,30140,"Lebanon, PA",Metropolitan,Central
33009,30150,"Lebanon-Claremont, NH-VT",Micropolitan,Central
33019,30150,"Lebanon-Claremont, NH-VT",Micropolitan,Outlying
50017,30150,"Lebanon-Claremont, NH-VT",Micropolitan,Outlying
50027,30150,"Lebanon-Claremont, NH-VT",Micropolitan,Central
19149,30180,"Le Mars, IA",Micropolitan,Central
42119,30260,"Lewisburg, PA",Micropolitan,Central
47117,30280,"Lewisburg, TN",Micropolitan,Central
16069,30300,"Lewiston, ID-WA",Metropolitan,Central
53003,30300,"Lewiston, ID-WA",Metropolitan,Central
23001,30340,"Lewiston-Auburn, ME",Metropolitan,Central
42087,30380,"Lewistown, PA",Micropolitan,Central
31047,30420,"Lexington, NE",Micropolitan,Central
31073,30420,"Lexington, NE",Micropolitan,Outlying
21017,30460,"Lexington-Fayette, KY",Metropolitan,Outlying
21049,30460,"Lexington-Fayette, KY",Metropolitan,Outlying
21067,30460,"Lexington-Fayette, KY",Metropolitan,Central
21113,30460,"Lexington-Fayette, KY",Metropolitan,Outlying
21209,30460,"Lexington-Fayette, KY",Metropolitan,Outlying
21239,30460,"Lexington-Fayette, KY",Metropolitan,Outlying
24009,30500,"Lexington Park, MD",Metropolitan,Central
24037,30500,"Lexington Park, MD",Metropolitan,Central
20175,30580,"Liberal, KS",Micropolitan,Central
39003,30620,"Lima, OH",Metropolitan,Central
